transaction_id,order_id,payment_id,customer_id,payment_date,payment_method,status,amount,fee,tax,refund_amount,expected_settlement,actual_settlement,settlement_status,settlement_date,injected_exception
TXN_1001,ORD_2001,PAY_3001,CUST_140,2026-08-05,UPI,captured,799,14.38,2.59,0.0,782.03,782.03,settled,2026-08-03,NONE
TXN_1002,ORD_2002,PAY_3002,CUST_147,2026-08-02,UPI,failed,799,0.0,0.0,0.0,0.0,0.0,not_applicable,,NONE
TXN_1003,ORD_2003,PAY_3003,CUST_101,2026-08-01,CARD,captured,799,14.38,2.59,0.0,782.03,0.0,missing,,MISSING_SETTLEMENT
TXN_1004,ORD_2004,PAY_3004,CUST_135,2026-08-09,WALLET,captured,1499,26.98,4.86,0.0,1467.16,2934.32,settled,2026-08-06,DUPLICATE
TXN_1005,ORD_2005,PAY_3005,CUST_151,2026-08-11,CARD,failed,499,0.0,0.0,0.0,0.0,0.0,not_applicable,,NONE
TXN_1006,ORD_2006,PAY_3006,CUST_117,2026-08-13,CARD,captured,999,17.98,3.24,0.0,977.78,977.78,settled,2026-08-02,NONE
TXN_1007,ORD_2007,PAY_3007,CUST_106,2026-08-15,NETBANKING,captured,2499,44.98,8.1,0.0,2445.92,2445.92,settled,2026-08-07,NONE
TXN_1008,ORD_2008,PAY_3008,CUST_134,2026-08-21,WALLET,captured,799,14.38,2.59,0.0,782.03,0.0,missing,,MISSING_SETTLEMENT
TXN_1009,ORD_2009,PAY_3009,CUST_139,2026-08-08,CARD,captured,2499,44.98,8.1,0.0,2445.92,2445.92,settled,2026-08-07,NONE
TXN_1010,ORD_2010,PAY_3010,CUST_149,2026-08-09,UPI,captured,1999,35.98,6.48,0.0,1956.54,1956.54,settled,2026-08-05,NONE
TXN_1011,ORD_2011,PAY_3011,CUST_129,2026-08-09,CARD,captured,2499,44.98,8.1,624.75,1821.17,2445.92,settled,2026-08-03,PARTIAL_REFUND
TXN_1012,ORD_2012,PAY_3012,CUST_144,2026-08-13,CARD,captured,799,14.38,2.59,0.0,782.03,782.03,settled,2026-08-05,NONE
TXN_1013,ORD_2013,PAY_3013,CUST_117,2026-08-02,CARD,captured,7999,143.98,25.92,0.0,7829.1,7829.1,settled,2026-08-03,NONE
TXN_1014,ORD_2014,PAY_3014,CUST_151,2026-08-19,WALLET,captured,2499,44.98,8.1,0.0,2445.92,2445.92,settled,2026-08-03,NONE
TXN_1015,ORD_2015,PAY_3015,CUST_156,2026-08-13,CARD,failed,2499,0.0,0.0,0.0,0.0,0.0,not_applicable,,NONE
